sentence;Intent;Cause;Effect;Causal association;tokenized;bio_tags
@USER As if I were n't already struggling enough ( grad student , covid , type 1 diabetes complications , need surgery , etc ) I ' m on the freeway and I just got a flat tire : upside down_face : : upside down_face : : upside down_face : anything helps !;;type 1 diabetes complications;struggling;1.0;"['@USER', 'As', 'if', 'I', 'were', ""n't"", 'already', 'struggling', 'enough', '(', 'grad', 'student', ',', 'covid', ',', 'type', '1', 'diabetes', 'complications', ',', 'need', 'surgery', ',', 'etc', ')', 'I', ""'"", 'm', 'on', 'the', 'freeway', 'and', 'I', 'just', 'got', 'a', 'flat', 'tire', ':', 'upside', 'down_face', ':', ':', 'upside', 'down_face', ':', ':', 'upside', 'down_face', ':', 'anything', 'helps', '!']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I spent probable close to a trillion dollars just for healthcare living with diabetes past 29 years of my life and will be spending more years to come;;diabetes;spent probable close to a trillion dollars;1.0;['I', 'spent', 'probable', 'close', 'to', 'a', 'trillion', 'dollars', 'just', 'for', 'healthcare', 'living', 'with', 'diabetes', 'past', '29', 'years', 'of', 'my', 'life', 'and', 'will', 'be', 'spending', 'more', 'years', 'to', 'come'];['O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER Hopefully with his Skittles addiction we can only hope he does n't have type 2 diabetes .;;Skittles addiction;type 2 diabetes;1.0;"['@USER', 'Hopefully', 'with', 'his', 'Skittles', 'addiction', 'we', 'can', 'only', 'hope', 'he', 'does', ""n't"", 'have', 'type', '2', 'diabetes', '.']";['O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O']
You are wasting valuable medical resources during an emergency pandemic while denying insulin to someone who will die without it .;;denying insulin;die;1.0;['You', 'are', 'wasting', 'valuable', 'medical', 'resources', 'during', 'an', 'emergency', 'pandemic', 'while', 'denying', 'insulin', 'to', 'someone', 'who', 'will', 'die', 'without', 'it', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O']
@USER My 27 year old nephew is a type 1 brittle diabetic with diabetic retinopathy that requires injections into the eye ( not covered by insurance $ 350 a pop ( 2 per month ) plus $ 750 insulin copay monthly !;;diabetic;retinopathy;1.0;['@USER', 'My', '27', 'year', 'old', 'nephew', 'is', 'a', 'type', '1', 'brittle', 'diabetic', 'with', 'diabetic', 'retinopathy', 'that', 'requires', 'injections', 'into', 'the', 'eye', '(', 'not', 'covered', 'by', 'insurance', '$', '350', 'a', 'pop', '(', '2', 'per', 'month', ')', 'plus', '$', '750', 'insulin', 'copay', 'monthly', '!'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
She mocked a man dying of diabetes and made fun of a man who died in a car accident at a comedy central roast .;;diabetes;dying;1.0;['She', 'mocked', 'a', 'man', 'dying', 'of', 'diabetes', 'and', 'made', 'fun', 'of', 'a', 'man', 'who', 'died', 'in', 'a', 'car', 'accident', 'at', 'a', 'comedy', 'central', 'roast', '.'];['O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER I have my doubts that this high death rate is only related to diabetes since many diabetics have auto immune and kidney issues too .;mE;diabetics;"auto immune;kidney issues";1.0;['@USER', 'I', 'have', 'my', 'doubts', 'that', 'this', 'high', 'death', 'rate', 'is', 'only', 'related', 'to', 'diabetes', 'since', 'many', 'diabetics', 'have', 'auto', 'immune', 'and', 'kidney', 'issues', 'too', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'O', 'I-E', 'I-E', 'O', 'O']
meanwhile the kids are eating mass quantities of sugar and GMO chemicals and getting closer to diabetes ...;;sugar;diabetes;1.0;['meanwhile', 'the', 'kids', 'are', 'eating', 'mass', 'quantities', 'of', 'sugar', 'and', 'GMO', 'chemicals', 'and', 'getting', 'closer', 'to', 'diabetes', '...'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O']
@USER Dad got part of his stomach removed to remove side effects from diabetes .;;diabetes;stomach removed;1.0;['@USER', 'Dad', 'got', 'part', 'of', 'his', 'stomach', 'removed', 'to', 'remove', 'side', 'effects', 'from', 'diabetes', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O']
Living with type 1 diabetes I often feel like my world revolves around food and as a result i ' ve developed a weird relationship with the contents of my fridge .;;type 1 diabetes;feel like my world revolves around food;1.0;"['Living', 'with', 'type', '1', 'diabetes', 'I', 'often', 'feel', 'like', 'my', 'world', 'revolves', 'around', 'food', 'and', 'as', 'a', 'result', 'i', ""'"", 've', 'developed', 'a', 'weird', 'relationship', 'with', 'the', 'contents', 'of', 'my', 'fridge', '.']";['O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
My hubby was diagnosed with diabetes , we took classes that help you manage the disease .;;classes;help you manage the disease;1.0;['My', 'hubby', 'was', 'diagnosed', 'with', 'diabetes', ',', 'we', 'took', 'classes', 'that', 'help', 'you', 'manage', 'the', 'disease', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O']
@USER Eating carbs on an empty stomach after a night long fast spikes your insulin .;;Eating carbs;spikes your insulin;1.0;['@USER', 'Eating', 'carbs', 'on', 'an', 'empty', 'stomach', 'after', 'a', 'night', 'long', 'fast', 'spikes', 'your', 'insulin', '.'];['O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O']
Type 2 diabetes is common to people over 45 with family history of diabetes , obese or even overweight .;mC;"family history of diabetes;obese;overweight";Type 2 diabetes;1.0;['Type', '2', 'diabetes', 'is', 'common', 'to', 'people', 'over', '45', 'with', 'family', 'history', 'of', 'diabetes', ',', 'obese', 'or', 'even', 'overweight', '.'];['I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'I-C', 'O', 'O', 'I-C', 'O']
@USER @USER People with a stutter get this tax credit , and they should , if diabetes is left untreated it ' ll kill you ...;;diabetes;kill;1.0;"['@USER', '@USER', 'People', 'with', 'a', 'stutter', 'get', 'this', 'tax', 'credit', ',', 'and', 'they', 'should', ',', 'if', 'diabetes', 'is', 'left', 'untreated', 'it', ""'"", 'll', 'kill', 'you', '...']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O']
@USER @USER I am a diabetic and with checking blood sugars and injections of insulin , I ' m getting stuck sometimes up to 10 times a day !;mE;diabetic;"checking blood sugars;injections of insulin";1.0;"['@USER', '@USER', 'I', 'am', 'a', 'diabetic', 'and', 'with', 'checking', 'blood', 'sugars', 'and', 'injections', 'of', 'insulin', ',', 'I', ""'"", 'm', 'getting', 'stuck', 'sometimes', 'up', 'to', '10', 'times', 'a', 'day', '!']";['O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I just learned today that I can never donate blood because of my diabetes .;;diabetes;never donate blood;1.0;['I', 'just', 'learned', 'today', 'that', 'I', 'can', 'never', 'donate', 'blood', 'because', 'of', 'my', 'diabetes', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'I-C', 'O']
I should have said perhaps he took too much insulin which could give him low blood sugar .;;much insulin;low blood sugar;1.0;['I', 'should', 'have', 'said', 'perhaps', 'he', 'took', 'too', 'much', 'insulin', 'which', 'could', 'give', 'him', 'low', 'blood', 'sugar', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O']
This is definitely something I need to show to my family members that suffer from type 2 diabetes .;;type 2 diabetes;suffer;1.0;['This', 'is', 'definitely', 'something', 'I', 'need', 'to', 'show', 'to', 'my', 'family', 'members', 'that', 'suffer', 'from', 'type', '2', 'diabetes', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'I-C', 'I-C', 'O']
@USER Even if I was using medicaid to get supplies for me diabetes then selling the supplies to purchase drugs , then using emergency room to resupply society / tax payers are paying much more than simply legalizing drugs and giving addicts needed supply .;;diabetes;get supplies;1.0;['@USER', 'Even', 'if', 'I', 'was', 'using', 'medicaid', 'to', 'get', 'supplies', 'for', 'me', 'diabetes', 'then', 'selling', 'the', 'supplies', 'to', 'purchase', 'drugs', ',', 'then', 'using', 'emergency', 'room', 'to', 'resupply', 'society', '/', 'tax', 'payers', 'are', 'paying', 'much', 'more', 'than', 'simply', 'legalizing', 'drugs', 'and', 'giving', 'addicts', 'needed', 'supply', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER @USER I know there were concerns about his diabetes and rawness but so much potential .;;diabetes;concerns;1.0;['@USER', '@USER', 'I', 'know', 'there', 'were', 'concerns', 'about', 'his', 'diabetes', 'and', 'rawness', 'but', 'so', 'much', 'potential', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Hot take : Suddenly discovering you ' re Type 1 diabetic at 26 sucks a lot of ass .;;Type 1 diabetic;sucks;1.0;"['Hot', 'take', ':', 'Suddenly', 'discovering', 'you', ""'"", 're', 'Type', '1', 'diabetic', 'at', '26', 'sucks', 'a', 'lot', 'of', 'ass', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O']
"My mom told me I should stop eating so much carbs because "" diabetes runs in our family .";;diabetes;stop eating so much carbs;1.0;"['My', 'mom', 'told', 'me', 'I', 'should', 'stop', 'eating', 'so', 'much', 'carbs', 'because', '""', 'diabetes', 'runs', 'in', 'our', 'family', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O']
Been 18 months since I was in the hospital for diabetes : syringe : : smiling_face_with_smiling_eyes : and it ' s been 5 months since in hospital for another reason .. doing good : thumbs_up :;;diabetes;hospital;1.0;"['Been', '18', 'months', 'since', 'I', 'was', 'in', 'the', 'hospital', 'for', 'diabetes', ':', 'syringe', ':', ':', 'smiling_face_with_smiling_eyes', ':', 'and', 'it', ""'"", 's', 'been', '5', 'months', 'since', 'in', 'hospital', 'for', 'another', 'reason', '..', 'doing', 'good', ':', 'thumbs_up', ':']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
he was only blind in one eye when we got him & he ' s also an insulin dependent diabetic .;;diabetic;blind;1.0;"['he', 'was', 'only', 'blind', 'in', 'one', 'eye', 'when', 'we', 'got', 'him', '&', 'he', ""'"", 's', 'also', 'an', 'insulin', 'dependent', 'diabetic', '.']";['O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O']
My friend has been diabetic 4 years more than me and she ' s had multiple eye injections & surgeries + has kidney failure & needs dialysis multiple times a week .;mE;diabetic;"eye injections;surgeries;kidney failure;dialysis";1.0;"['My', 'friend', 'has', 'been', 'diabetic', '4', 'years', 'more', 'than', 'me', 'and', 'she', ""'"", 's', 'had', 'multiple', 'eye', 'injections', '&', 'surgeries', '+', 'has', 'kidney', 'failure', '&', 'needs', 'dialysis', 'multiple', 'times', 'a', 'week', '.']";['O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'I-E', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O']
@USER please help me get a ps5 im very sick with diabetes and scoliosis and alone for Christmas and really want a ps5 but can't afford one medical bills please help bought ever ps system since 95 im so : sad_but_relieved_face :;;diabetes;sick;1.0;"['@USER', 'please', 'help', 'me', 'get', 'a', 'ps5', 'im', 'very', 'sick', 'with', 'diabetes', 'and', 'scoliosis', 'and', 'alone', 'for', 'Christmas', 'and', 'really', 'want', 'a', 'ps5', 'but', ""can't"", 'afford', 'one', 'medical', 'bills', 'please', 'help', 'bought', 'ever', 'ps', 'system', 'since', '95', 'im', 'so', ':', 'sad_but_relieved_face', ':']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I have a strict diabetic diet and there are a lot of days when I struggle to meet the calorie basics .;;diabetic;diet;1.0;['I', 'have', 'a', 'strict', 'diabetic', 'diet', 'and', 'there', 'are', 'a', 'lot', 'of', 'days', 'when', 'I', 'struggle', 'to', 'meet', 'the', 'calorie', 'basics', '.'];['O', 'O', 'O', 'O', 'I-C', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
A quick question When last did u hear of someone who died of cancer , diabetes complications , hypertensive disorders .;;diabetes complications;died;1.0;['A', 'quick', 'question', 'When', 'last', 'did', 'u', 'hear', 'of', 'someone', 'who', 'died', 'of', 'cancer', ',', 'diabetes', 'complications', ',', 'hypertensive', 'disorders', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O']
13 years ago i was on the verge of being diabetic , i changed my lifestyle and last time i got checked all my levels were normal on every check !;;diabetic;changed my lifestyle;1.0;['13', 'years', 'ago', 'i', 'was', 'on', 'the', 'verge', 'of', 'being', 'diabetic', ',', 'i', 'changed', 'my', 'lifestyle', 'and', 'last', 'time', 'i', 'got', 'checked', 'all', 'my', 'levels', 'were', 'normal', 'on', 'every', 'check', '!'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Seriously WTF is in the gestational diabetes test drink that makes you want to pass out , throw up , and die of a headache all at once;mE;gestational diabetes test drink;"pass out;throw up;headache";1.0;['Seriously', 'WTF', 'is', 'in', 'the', 'gestational', 'diabetes', 'test', 'drink', 'that', 'makes', 'you', 'want', 'to', 'pass', 'out', ',', 'throw', 'up', ',', 'and', 'die', 'of', 'a', 'headache', 'all', 'at', 'once'];['O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O']
As a diabetic who monitors her blood sugar and sees the impacts of carbs , I wholly dismiss what the health .;;diabetic;monitors her blood sugar;1.0;['As', 'a', 'diabetic', 'who', 'monitors', 'her', 'blood', 'sugar', 'and', 'sees', 'the', 'impacts', 'of', 'carbs', ',', 'I', 'wholly', 'dismiss', 'what', 'the', 'health', '.'];['O', 'O', 'I-C', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER @USER When we ' re all dead because we can't afford our insulin anymore .;;can't afford our insulin;dead;1.0;"['@USER', '@USER', 'When', 'we', ""'"", 're', 'all', 'dead', 'because', 'we', ""can't"", 'afford', 'our', 'insulin', 'anymore', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O']
so stressed out .. keeping on top of my gestational diabetes , making sure my house is clean , making sure everything is ready for baby boy;;gestational diabetes;stressed;1.0;['so', 'stressed', 'out', '..', 'keeping', 'on', 'top', 'of', 'my', 'gestational', 'diabetes', ',', 'making', 'sure', 'my', 'house', 'is', 'clean', ',', 'making', 'sure', 'everything', 'is', 'ready', 'for', 'baby', 'boy'];['O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Somebody come to the hospital and put me threw a workout can't let diabetes win ...;;diabetes;workout;1.0;"['Somebody', 'come', 'to', 'the', 'hospital', 'and', 'put', 'me', 'threw', 'a', 'workout', ""can't"", 'let', 'diabetes', 'win', '...']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'O', 'O']
She came to us very sick due to diabetes but she ' s doing much better now .;;diabetes;sick;1.0;"['She', 'came', 'to', 'us', 'very', 'sick', 'due', 'to', 'diabetes', 'but', 'she', ""'"", 's', 'doing', 'much', 'better', 'now', '.']";['O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I lost my husband to complications from diabetes because he didnt take it serious when he found out he had it and as much as I tried to regulate his sugar it was all for nothing .;;complications from diabetes;lost my husband;1.0;['I', 'lost', 'my', 'husband', 'to', 'complications', 'from', 'diabetes', 'because', 'he', 'didnt', 'take', 'it', 'serious', 'when', 'he', 'found', 'out', 'he', 'had', 'it', 'and', 'as', 'much', 'as', 'I', 'tried', 'to', 'regulate', 'his', 'sugar', 'it', 'was', 'all', 'for', 'nothing', '.'];['O', 'I-E', 'I-E', 'I-E', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@USER I started running after losing 20kg and knocking diabetes on the head .;;diabetes;"losing 20kg;running";1.0;['@USER', 'I', 'started', 'running', 'after', 'losing', '20kg', 'and', 'knocking', 'diabetes', 'on', 'the', 'head', '.'];['O', 'O', 'O', 'I-E', 'O', 'I-E', 'I-E', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O']
@USER @USER @USER My diabetic 75 YO mother ended up in hypoglycaemic shock in August in hospital whilst treated for a broken ankle , so excellent is the nutrition provided by ‘ our ' NHS .;;diabetic;hypoglycaemic shock;1.0;"['@USER', '@USER', '@USER', 'My', 'diabetic', '75', 'YO', 'mother', 'ended', 'up', 'in', 'hypoglycaemic', 'shock', 'in', 'August', 'in', 'hospital', 'whilst', 'treated', 'for', 'a', 'broken', 'ankle', ',', 'so', 'excellent', 'is', 'the', 'nutrition', 'provided', 'by', '‘', 'our', ""'"", 'NHS', '.']";['O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I spend a third of my money on insulin and with out insulin I feel depressed and sick .;;with out insulin;"depressed;sick";1.0;['I', 'spend', 'a', 'third', 'of', 'my', 'money', 'on', 'insulin', 'and', 'with', 'out', 'insulin', 'I', 'feel', 'depressed', 'and', 'sick', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'I-E', 'O', 'I-E', 'O']
@USER that if I do n't take care of myself I will get diabetes and have early onset symptoms so I cant have too many sweets;;sweets;diabetes;1.0;"['@USER', 'that', 'if', 'I', 'do', ""n't"", 'take', 'care', 'of', 'myself', 'I', 'will', 'get', 'diabetes', 'and', 'have', 'early', 'onset', 'symptoms', 'so', 'I', 'cant', 'have', 'too', 'many', 'sweets']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C']
@USER I ' m pretty certain that no one asks to have diabetes , also there are a variety of reasons one might get the disease such as family history or age .;;"family history;age";diabetes;1.0;"['@USER', 'I', ""'"", 'm', 'pretty', 'certain', 'that', 'no', 'one', 'asks', 'to', 'have', 'diabetes', ',', 'also', 'there', 'are', 'a', 'variety', 'of', 'reasons', 'one', 'might', 'get', 'the', 'disease', 'such', 'as', 'family', 'history', 'or', 'age', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'I-C', 'O', 'I-C', 'O']
It ' s so difficult living with diabetes terrible disease it affects ever organ in your body and develop other sickness sometimes you do n't know want to eat real challenge;mE;diabetes;"affects ever organ;other sickness;do n't know want to eat";1.0;"['It', ""'"", 's', 'so', 'difficult', 'living', 'with', 'diabetes', 'terrible', 'disease', 'it', 'affects', 'ever', 'organ', 'in', 'your', 'body', 'and', 'develop', 'other', 'sickness', 'sometimes', 'you', 'do', ""n't"", 'know', 'want', 'to', 'eat', 'real', 'challenge']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O']
As a type II diabetic , I have to eat lots of protein and that limits my choices .;;type II diabetic;eat lots of protein;1.0;['As', 'a', 'type', 'II', 'diabetic', ',', 'I', 'have', 'to', 'eat', 'lots', 'of', 'protein', 'and', 'that', 'limits', 'my', 'choices', '.'];['O', 'O', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O']
Baffles me how some people do n't take diabetes seriously & think that those who have it just over dramatise it all : face_with_rolling_eyes :;;people do n't take diabetes seriously;Baffles;1.0;"['Baffles', 'me', 'how', 'some', 'people', 'do', ""n't"", 'take', 'diabetes', 'seriously', '&', 'think', 'that', 'those', 'who', 'have', 'it', 'just', 'over', 'dramatise', 'it', 'all', ':', 'face_with_rolling_eyes', ':']";['I-E', 'O', 'O', 'O', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
When your GM says he cant come in to work because his wife ' s diabetes is causing her to be blind , and you see him running a food truck outside of a Dollar general with said wife when you are on your way to pick up your sick kid from school .;;diabetes;blind;1.0;"['When', 'your', 'GM', 'says', 'he', 'cant', 'come', 'in', 'to', 'work', 'because', 'his', 'wife', ""'"", 's', 'diabetes', 'is', 'causing', 'her', 'to', 'be', 'blind', ',', 'and', 'you', 'see', 'him', 'running', 'a', 'food', 'truck', 'outside', 'of', 'a', 'Dollar', 'general', 'with', 'said', 'wife', 'when', 'you', 'are', 'on', 'your', 'way', 'to', 'pick', 'up', 'your', 'sick', 'kid', 'from', 'school', '.']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
I ' ve seen this first hand too My aunts old ( deceased ) husband had diabetes and sht was chill at first Then one thanksgiving he ' d show up with a finger or 2 missing , that Christmas his whole hand was gone , next year it more fingers , then His other hand , : weary_face : diabetes ate him alive;mE;diabetes;"finger or 2 missing;hand was gone";1.0;"['I', ""'"", 've', 'seen', 'this', 'first', 'hand', 'too', 'My', 'aunts', 'old', '(', 'deceased', ')', 'husband', 'had', 'diabetes', 'and', 'sht', 'was', 'chill', 'at', 'first', 'Then', 'one', 'thanksgiving', 'he', ""'"", 'd', 'show', 'up', 'with', 'a', 'finger', 'or', '2', 'missing', ',', 'that', 'Christmas', 'his', 'whole', 'hand', 'was', 'gone', ',', 'next', 'year', 'it', 'more', 'fingers', ',', 'then', 'His', 'other', 'hand', ',', ':', 'weary_face', ':', 'diabetes', 'ate', 'him', 'alive']";['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'I-E', 'I-E', 'I-E', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
